"dataset","original_name","clade","alignment"
"Borowiec2015","Strongylocentrotus","Bilateria","Best108"
"Borowiec2015","Saccoglossus","Bilateria","Best108"
"Borowiec2015","Branchiostoma","Bilateria","Best108"
"Borowiec2015","Oikopleura","Bilateria","Best108"
"Borowiec2015","Ciona","Bilateria","Best108"
"Borowiec2015","Fugu","Bilateria","Best108"
"Borowiec2015","Gasterosteus","Bilateria","Best108"
"Borowiec2015","Latimeria","Bilateria","Best108"
"Borowiec2015","Xenopus","Bilateria","Best108"
"Borowiec2015","Homo","Bilateria","Best108"
"Borowiec2015","Gallus","Bilateria","Best108"
"Borowiec2015","Anolis","Bilateria","Best108"
"Borowiec2015","Capitella","Bilateria","Best108"
"Borowiec2015","Lottia","Bilateria","Best108"
"Borowiec2015","Pinctada","Bilateria","Best108"
"Borowiec2015","Caenorhabditis","Bilateria","Best108"
"Borowiec2015","Brugia","Bilateria","Best108"
"Borowiec2015","Tetranychus","Bilateria","Best108"
"Borowiec2015","Ixodes","Bilateria","Best108"
"Borowiec2015","Strigamia","Bilateria","Best108"
"Borowiec2015","Daphnia","Bilateria","Best108"
"Borowiec2015","Acyrthosiphon","Bilateria","Best108"
"Borowiec2015","Rhodnius","Bilateria","Best108"
"Borowiec2015","Apis","Bilateria","Best108"
"Borowiec2015","Bombus","Bilateria","Best108"
"Borowiec2015","Tribolium","Bilateria","Best108"
"Borowiec2015","Drosophila","Bilateria","Best108"
"Borowiec2015","Danaus","Bilateria","Best108"
"Borowiec2015","Hydra","Cnidaria","Best108"
"Borowiec2015","Acropora","Cnidaria","Best108"
"Borowiec2015","Nematostella","Cnidaria","Best108"
"Borowiec2015","Trichoplax","Placozoa","Best108"
"Borowiec2015","Amphimedon","Porifera","Best108"
"Borowiec2015","Mnemiopsis","Ctenophora","Best108"
"Borowiec2015","Salpingoeca","Outgroup","Best108"
"Borowiec2015","Monosiga","Outgroup","Best108"
"Chang2015","Latimeria_menadoensis","Bilateria","Chang_AA"
"Chang2015","Homo_sapiens","Bilateria","Chang_AA"
"Chang2015","Petromyzon_marinus","Bilateria","Chang_AA"
"Chang2015","Ciona_intestinalis","Bilateria","Chang_AA"
"Chang2015","Botryllus_schlosseri","Bilateria","Chang_AA"
"Chang2015","Branchiostoma_floridae","Bilateria","Chang_AA"
"Chang2015","Saccoglossus_kowalevskii","Bilateria","Chang_AA"
"Chang2015","Strongylocentrotus_purpuratus","Bilateria","Chang_AA"
"Chang2015","Patiria_miniata","Bilateria","Chang_AA"
"Chang2015","Pediculus_humanus_corporis","Bilateria","Chang_AA"
"Chang2015","Nasonia_vitripennis","Bilateria","Chang_AA"
"Chang2015","Daphnia_pulex","Bilateria","Chang_AA"
"Chang2015","Strigamia_maritima","Bilateria","Chang_AA"
"Chang2015","Ixodes_scapularis","Bilateria","Chang_AA"
"Chang2015","Helobdella_robusta","Bilateria","Chang_AA"
"Chang2015","Capitella_teleta","Bilateria","Chang_AA"
"Chang2015","Octopus_vulgaris","Bilateria","Chang_AA"
"Chang2015","Ilyanassa_obsoleta","Bilateria","Chang_AA"
"Chang2015","Crassostrea_gigas","Bilateria","Chang_AA"
"Chang2015","Nanomia_bijuga","Cnidaria","Chang_AA"
"Chang2015","Hydractinia_polyclina","Cnidaria","Chang_AA"
"Chang2015","Clytia_hemisphaerica","Cnidaria","Chang_AA"
"Chang2015","Hydra_magnipapillata","Cnidaria","Chang_AA"
"Chang2015","Ectopleura_larynx","Cnidaria","Chang_AA"
"Chang2015","Craspedacusta_sowerbyi","Cnidaria","Chang_AA"
"Chang2015","Tripedalia_cystophora","Cnidaria","Chang_AA"
"Chang2015","Cyanea_capillata","Cnidaria","Chang_AA"
"Chang2015","Stomolophus_meleagris","Cnidaria","Chang_AA"
"Chang2015","Aurelia_aurita","Cnidaria","Chang_AA"
"Chang2015","Polypodium_hydriforme","Cnidaria","Chang_AA"
"Chang2015","Tetracapsuloides_bryosalmonae","Cnidaria","Chang_AA"
"Chang2015","Buddenbrockia_plumatellae","Cnidaria","Chang_AA"
"Chang2015","Enteromyxum_leei","Cnidaria","Chang_AA"
"Chang2015","Kudoa_iwatai","Cnidaria","Chang_AA"
"Chang2015","Sphaeromyxa_zaharoni","Cnidaria","Chang_AA"
"Chang2015","Thelohanellus_kitauei","Cnidaria","Chang_AA"
"Chang2015","Myxobolus_cerebralis","Cnidaria","Chang_AA"
"Chang2015","Gorgonia_ventalina","Cnidaria","Chang_AA"
"Chang2015","Eunicella_cavolinii","Cnidaria","Chang_AA"
"Chang2015","Pocillopora_damicornis","Cnidaria","Chang_AA"
"Chang2015","Montastraea_faveolata","Cnidaria","Chang_AA"
"Chang2015","Porites_australiensis","Cnidaria","Chang_AA"
"Chang2015","Acropora_cervicornis","Cnidaria","Chang_AA"
"Chang2015","Nematostella_vectensis","Cnidaria","Chang_AA"
"Chang2015","Edwardsiella_lineata","Cnidaria","Chang_AA"
"Chang2015","Urticina_eques","Cnidaria","Chang_AA"
"Chang2015","Bolocera_tuediae","Cnidaria","Chang_AA"
"Chang2015","Hormathia_digitata","Cnidaria","Chang_AA"
"Chang2015","Aiptasia_pallida","Cnidaria","Chang_AA"
"Chang2015","Trichoplax_adhaerens","Placozoa","Chang_AA"
"Chang2015","Leucetta_chagosensis","Porifera","Chang_AA"
"Chang2015","Sycon_ciliatum","Porifera","Chang_AA"
"Chang2015","Sycon_coactum","Porifera","Chang_AA"
"Chang2015","Corticium_candelabrum","Porifera","Chang_AA"
"Chang2015","Oscarella_carmela","Porifera","Chang_AA"
"Chang2015","Oscarella_sp_sn2011","Porifera","Chang_AA"
"Chang2015","Aphrocallistes_vastus","Porifera","Chang_AA"
"Chang2015","Euplectella_aspergillum","Porifera","Chang_AA"
"Chang2015","Amphimedon_queenslandica","Porifera","Chang_AA"
"Chang2015","Chondrilla_nucula","Porifera","Chang_AA"
"Chang2015","Ephydatia_muelleri","Porifera","Chang_AA"
"Chang2015","Ircinia_fasciculata","Porifera","Chang_AA"
"Chang2015","Petrosia_ficiformis","Porifera","Chang_AA"
"Chang2015","Euplokamis_dunlapae","Ctenophora","Chang_AA"
"Chang2015","Vallicula_multiformis","Ctenophora","Chang_AA"
"Chang2015","Pleurobrachia_pileus","Ctenophora","Chang_AA"
"Chang2015","Mnemiopsis_leidyi","Ctenophora","Chang_AA"
"Chang2015","Beroe_moroz","Ctenophora","Chang_AA"
"Chang2015","Ministeria_vibrans_atcc50519","Outgroup","Chang_AA"
"Chang2015","Capsaspora_owczarzaki_atcc30864","Outgroup","Chang_AA"
"Chang2015","Sphaeroforma_arctica_jp610","Outgroup","Chang_AA"
"Chang2015","Amoebidium_parasiticum_JAP72","Outgroup","Chang_AA"
"Chang2015","Monosiga_brevicollis_mx1","Outgroup","Chang_AA"
"Chang2015","Monosiga_ovata","Outgroup","Chang_AA"
"Chang2015","Acanthoeca_like_sp_10tr","Outgroup","Chang_AA"
"Chang2015","Stephanoeca_diplocostata","Outgroup","Chang_AA"
"Chang2015","Salpingoeca_sp_atcc50818","Outgroup","Chang_AA"
"Dunn2008","Acanthoscurria_gomesiana","Bilateria","Dunn2008_FixedNames"
"Dunn2008","Anoplodactylus_eroticus","Bilateria","Dunn2008_FixedNames"
"Dunn2008","Aplysia_californica","Bilateria","Dunn2008_FixedNames"
"Dunn2008","Argopecten_irradians","Bilateria","Dunn2008_FixedNames"
"Dunn2008","Asterina_pectinifera","Bilateria","Dunn2008_FixedNames"
"Dunn2008","Biomphalaria_glabrata","Bilateria","Dunn2008_FixedNames"
"Dunn2008","Boophilus_microplus","Bilateria","Dunn2008_FixedNames"
"Dunn2008","Branchiostoma_floridae","Bilateria","Dunn2008_FixedNames"
"Dunn2008","Capitella_sp","Bilateria","Dunn2008_FixedNames"
"Dunn2008","Carcinoscorpius_rotundicauda","Bilateria","Dunn2008_FixedNames"
"Dunn2008","Carcinus_maenas","Bilateria","Dunn2008_FixedNames"
"Dunn2008","Carinoma_mutabilis","Bilateria","Dunn2008_FixedNames"
"Dunn2008","Cerebratulus_lacteus","Bilateria","Dunn2008_FixedNames"
"Dunn2008","Chaetoderma_nitidulum","Bilateria","Dunn2008_FixedNames"
"Dunn2008","Chaetopleura_apiculata","Bilateria","Dunn2008_FixedNames"
"Dunn2008","Chaetopterus_variopedatus","Bilateria","Dunn2008_FixedNames"
"Dunn2008","Ciona_intestinalis","Bilateria","Dunn2008_FixedNames"
"Dunn2008","Crassostrea_virginica","Bilateria","Dunn2008_FixedNames"
"Dunn2008","Daphnia_magna","Bilateria","Dunn2008_FixedNames"
"Dunn2008","Drosophila_melanogaster","Bilateria","Dunn2008_FixedNames"
"Dunn2008","Dugesia_japonica","Bilateria","Dunn2008_FixedNames"
"Dunn2008","Echinococcus_granulosus","Bilateria","Dunn2008_FixedNames"
"Dunn2008","Echinoderes_horni","Bilateria","Dunn2008_FixedNames"
"Dunn2008","Euperipatoides_kanangrensis","Bilateria","Dunn2008_FixedNames"
"Dunn2008","Euprymna_scolopes","Bilateria","Dunn2008_FixedNames"
"Dunn2008","Fenneropenaeus_chinensis","Bilateria","Dunn2008_FixedNames"
"Dunn2008","Gallus_gallus","Bilateria","Dunn2008_FixedNames"
"Dunn2008","Haementeria_depressa","Bilateria","Dunn2008_FixedNames"
"Dunn2008","Homo_sapiens","Bilateria","Dunn2008_FixedNames"
"Dunn2008","Hypsibius_dujardini","Bilateria","Dunn2008_FixedNames"
"Dunn2008","Lumbricus_rubellus","Bilateria","Dunn2008_FixedNames"
"Dunn2008","Macrostomum_lignano","Bilateria","Dunn2008_FixedNames"
"Dunn2008","Mytilus_galloprovincialis","Bilateria","Dunn2008_FixedNames"
"Dunn2008","Paraplanocera_oligoglena","Bilateria","Dunn2008_FixedNames"
"Dunn2008","Phoronis_vancouverensis","Bilateria","Dunn2008_FixedNames"
"Dunn2008","Platynereis_dumerilii","Bilateria","Dunn2008_FixedNames"
"Dunn2008","Priapulus_caudatus","Bilateria","Dunn2008_FixedNames"
"Dunn2008","Ptychodera_flava","Bilateria","Dunn2008_FixedNames"
"Dunn2008","Richtersius_coronifer","Bilateria","Dunn2008_FixedNames"
"Dunn2008","Saccoglossus_kowalevskii","Bilateria","Dunn2008_FixedNames"
"Dunn2008","Schmidtea_mediterranea","Bilateria","Dunn2008_FixedNames"
"Dunn2008","Scutigera_coleoptrata","Bilateria","Dunn2008_FixedNames"
"Dunn2008","Spinochordodes_tellinii","Bilateria","Dunn2008_FixedNames"
"Dunn2008","Strongylocentrotus_purpuratus","Bilateria","Dunn2008_FixedNames"
