"dataset","original_name","clade","alignment","relabelled_names"
"Borowiec2015","Acyrthosiphon","Bilateria","Best108","Acyrthosiphon_pisum"
"Borowiec2015","Anolis","Bilateria","Best108","Anolis_carolinensis"
"Borowiec2015","Apis","Bilateria","Best108","Apis_mellifera"
"Borowiec2015","Bombus","Bilateria","Best108","Bombus_terrestris"
"Borowiec2015","Branchiostoma","Bilateria","Best108","Branchiostoma_floridae"
"Borowiec2015","Brugia","Bilateria","Best108","Brugia_malayi"
"Borowiec2015","Caenorhabditis","Bilateria","Best108","Caenorhabditis_elegans"
"Borowiec2015","Capitella","Bilateria","Best108","Capitella_teleta"
"Borowiec2015","Ciona","Bilateria","Best108","Ciona_savignyi"
"Borowiec2015","Danaus","Bilateria","Best108","Danaus_plexippus"
"Borowiec2015","Daphnia","Bilateria","Best108","Daphnia_magna"
"Borowiec2015","Drosophila","Bilateria","Best108","Drosophila_melanogaster"
"Borowiec2015","Fugu","Bilateria","Best108","Fugu"
"Borowiec2015","Gallus","Bilateria","Best108","Gallus_gallus"
"Borowiec2015","Gasterosteus","Bilateria","Best108","Gasterosteus_aculeatus"
"Borowiec2015","Homo","Bilateria","Best108","Homo_sapiens"
"Borowiec2015","Ixodes","Bilateria","Best108","Ixodes_scapularis"
"Borowiec2015","Latimeria","Bilateria","Best108","Latimeria_chalumnae"
"Borowiec2015","Lottia","Bilateria","Best108","Lottia_gigantea"
"Borowiec2015","Oikopleura","Bilateria","Best108","Oikopleura_dioica"
"Borowiec2015","Pinctada","Bilateria","Best108","Pinctada_fucata"
"Borowiec2015","Rhodnius","Bilateria","Best108","Rhodnius_prolixus"
"Borowiec2015","Saccoglossus","Bilateria","Best108","Saccoglossus_kowalevskii"
"Borowiec2015","Strigamia","Bilateria","Best108","Strigamia_maritima"
"Borowiec2015","Strongylocentrotus","Bilateria","Best108","Strongylocentrotus_purpuratus"
"Borowiec2015","Tetranychus","Bilateria","Best108","Tetranychus_urticae"
"Borowiec2015","Tribolium","Bilateria","Best108","Tribolium_castaneum"
"Borowiec2015","Xenopus","Bilateria","Best108","Xenopus_tropicalis"
"Borowiec2015","Acropora","Cnidaria","Best108","Acropora_digitifera"
"Borowiec2015","Hydra","Cnidaria","Best108","Hydra_magnipapillata"
"Borowiec2015","Nematostella","Cnidaria","Best108","Nematostella_vectensis"
"Borowiec2015","Mnemiopsis","Ctenophora","Best108","Mnemiopsis_leidyi"
"Borowiec2015","Monosiga","Outgroup","Best108","Monosiga_brevicollis"
"Borowiec2015","Salpingoeca","Outgroup","Best108","Salpingoeca_rosetta"
"Borowiec2015","Trichoplax","Placozoa","Best108","Trichoplax_adhaerens"
"Borowiec2015","Amphimedon","Porifera","Best108","Amphimedon_queenslandica"
"Chang2015","Botryllus_schlosseri","Bilateria","Chang_AA","Botryllus_schlosseri"
"Chang2015","Branchiostoma_floridae","Bilateria","Chang_AA","Branchiostoma_floridae"
"Chang2015","Capitella_teleta","Bilateria","Chang_AA","Capitella_teleta"
"Chang2015","Ciona_intestinalis","Bilateria","Chang_AA","Ciona_intestinalis"
