"clade","gene_tree","num_clade_tips","clade_relationship","clade_length","branch_length_to_clade","max_branching_time_for_ultrametric_clade","outgroup"
"Ctenophora",1,"0","0_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",2,"1","1_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",3,"0","0_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",4,"16","monophyletic","5.6408469096","0.2951288605","2.722562558","Drosophila_melanogaster"
"Ctenophora",5,"15","monophyletic","1.5918053203","0.4174205891","0.4234062256","Drosophila_melanogaster"
"Ctenophora",6,"12","monophyletic","2.3356147732","0.5572842043","1.128154858","Drosophila_melanogaster"
"Ctenophora",7,"22","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",8,"10","monophyletic","0.7231129459","0.0799674877","0.4104723924","Drosophila_melanogaster"
"Ctenophora",9,"1","1_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",10,"0","0_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",11,"1","1_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",12,"13","monophyletic","0.9441582067","0.3649661072","0.2735909402","Drosophila_melanogaster"
"Ctenophora",13,"5","monophyletic","0.7596282375","0.4613218854","0.3619527119","Drosophila_melanogaster"
"Ctenophora",14,"0","0_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",15,"17","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",16,"19","monophyletic","2.3998401045","0.4943600412","0.5032187108","Drosophila_melanogaster"
"Ctenophora",17,"2","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",18,"13","monophyletic","1.4109390117","0.6555565707","0.39285584","Drosophila_melanogaster"
"Ctenophora",19,"0","0_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",20,"0","0_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",21,"0","0_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",22,"15","monophyletic","1.0765228857","0.5667925051","0.1940032615","Drosophila_melanogaster"
"Ctenophora",23,"0","0_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",24,"6","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",25,"15","monophyletic","2.5395942118","0.8820498332","0.6161668893","Drosophila_melanogaster"
"Ctenophora",26,"2","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",27,"10","monophyletic","0.8255775259","0.6434548318","0.235883468","Drosophila_melanogaster"
"Ctenophora",28,"0","0_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",29,"3","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",30,"2","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",31,"2","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",32,"13","monophyletic","1.338458385","0.3749276626","0.3646859643","Drosophila_melanogaster"
"Ctenophora",33,"0","0_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",34,"1","1_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",35,"0","0_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",36,"2","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",37,"0","0_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",38,"2","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",39,"6","monophyletic","0.3861439087","0.6200082399","0.1322890011","Drosophila_melanogaster"
"Ctenophora",40,"9","monophyletic","2.5969047273","0.3071235828","0.6036629374","Drosophila_melanogaster"
"Ctenophora",41,"0","0_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",42,"3","monophyletic","0.4170218754","0.8729238409","0.236733082","Drosophila_melanogaster"
"Ctenophora",43,"1","1_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",44,"18","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",45,"18","monophyletic","2.4782258852","0.4690666657","0.5112639074","Drosophila_melanogaster"
"Ctenophora",46,"12","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",47,"0","0_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",48,"0","0_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",49,"21","monophyletic","3.0649116592","0.3725954482","0.5698578567","Drosophila_melanogaster"
"Ctenophora",50,"0","0_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",51,"0","0_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",52,"0","0_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",53,"14","monophyletic","1.7306666428","0.8944490269","0.4714376137","Drosophila_melanogaster"
"Ctenophora",54,"14","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",55,"15","monophyletic","1.3520939101","0.7363513526","0.4116487974","Drosophila_melanogaster"
"Ctenophora",56,"10","monophyletic","2.4082627287","0.2487243713","1.0433473676","Drosophila_melanogaster"
"Ctenophora",57,"19","monophyletic","1.433076003","0.993960596","0.4529381271","Drosophila_melanogaster"
"Ctenophora",58,"0","0_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",59,"1","1_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",60,"1","1_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",61,"1","1_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",62,"0","0_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",63,"0","0_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",64,"7","monophyletic","1.051047279","0.6299696841","0.4937643718","Drosophila_melanogaster"
"Ctenophora",65,"16","monophyletic","1.9087960552","0.5737454593","0.5287722717","Drosophila_melanogaster"
"Ctenophora",66,"1","1_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",67,"0","0_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
"Ctenophora",68,"15","monophyletic","2.1265085583","0.5354049822","0.4595828321","Drosophila_melanogaster"
"Ctenophora",69,"1","1_taxa_present",NA,NA,NA,"Drosophila_melanogaster"
