"clade","gene_tree","num_clade_tips","clade_relationship","clade_length","branch_length_to_clade","max_branching_time_for_ultrametric_clade","outgroup"
"Ctenophora",4,"16","monophyletic","5.6408469096","0.2951288605","2.722562558","Drosophila_melanogaster"
"Ctenophora",5,"15","monophyletic","1.5918053203","0.4174205891","0.4234062256","Drosophila_melanogaster"
"Ctenophora",6,"12","monophyletic","2.3356147732","0.5572842043","1.128154858","Drosophila_melanogaster"
"Ctenophora",8,"10","monophyletic","0.7231129459","0.0799674877","0.4104723924","Drosophila_melanogaster"
"Ctenophora",12,"13","monophyletic","0.9441582067","0.3649661072","0.2735909402","Drosophila_melanogaster"
"Ctenophora",13,"5","monophyletic","0.7596282375","0.4613218854","0.3619527119","Drosophila_melanogaster"
"Ctenophora",16,"19","monophyletic","2.3998401045","0.4943600412","0.5032187108","Drosophila_melanogaster"
"Ctenophora",18,"13","monophyletic","1.4109390117","0.6555565707","0.39285584","Drosophila_melanogaster"
"Ctenophora",22,"15","monophyletic","1.0765228857","0.5667925051","0.1940032615","Drosophila_melanogaster"
"Ctenophora",25,"15","monophyletic","2.5395942118","0.8820498332","0.6161668893","Drosophila_melanogaster"
"Ctenophora",27,"10","monophyletic","0.8255775259","0.6434548318","0.235883468","Drosophila_melanogaster"
"Ctenophora",32,"13","monophyletic","1.338458385","0.3749276626","0.3646859643","Drosophila_melanogaster"
"Ctenophora",39,"6","monophyletic","0.3861439087","0.6200082399","0.1322890011","Drosophila_melanogaster"
"Ctenophora",40,"9","monophyletic","2.5969047273","0.3071235828","0.6036629374","Drosophila_melanogaster"
"Ctenophora",42,"3","monophyletic","0.4170218754","0.8729238409","0.236733082","Drosophila_melanogaster"
"Ctenophora",45,"18","monophyletic","2.4782258852","0.4690666657","0.5112639074","Drosophila_melanogaster"
"Ctenophora",49,"21","monophyletic","3.0649116592","0.3725954482","0.5698578567","Drosophila_melanogaster"
"Ctenophora",53,"14","monophyletic","1.7306666428","0.8944490269","0.4714376137","Drosophila_melanogaster"
"Ctenophora",55,"15","monophyletic","1.3520939101","0.7363513526","0.4116487974","Drosophila_melanogaster"
"Ctenophora",56,"10","monophyletic","2.4082627287","0.2487243713","1.0433473676","Drosophila_melanogaster"
"Ctenophora",57,"19","monophyletic","1.433076003","0.993960596","0.4529381271","Drosophila_melanogaster"
"Ctenophora",64,"7","monophyletic","1.051047279","0.6299696841","0.4937643718","Drosophila_melanogaster"
"Ctenophora",65,"16","monophyletic","1.9087960552","0.5737454593","0.5287722717","Drosophila_melanogaster"
"Ctenophora",68,"15","monophyletic","2.1265085583","0.5354049822","0.4595828321","Drosophila_melanogaster"
"Ctenophora",72,"15","monophyletic","3.4189872628","0.8865095574","0.7638067306","Drosophila_melanogaster"
"Ctenophora",73,"9","monophyletic","0.7163058736","0.4190222218","0.2077057705","Drosophila_melanogaster"
"Ctenophora",74,"22","monophyletic","1.5765191987","0.6209835718","0.4635321698","Drosophila_melanogaster"
"Ctenophora",76,"9","monophyletic","1.7920565155","0.211602966","1.3169521629","Drosophila_melanogaster"
"Ctenophora",78,"17","monophyletic","1.7326922488","0.3284567698","1.0958543994","Drosophila_melanogaster"
"Ctenophora",79,"14","monophyletic","1.5654926135","1.2450156803","0.3778895301","Drosophila_melanogaster"
"Ctenophora",83,"7","monophyletic","0.5435685527","0.5583160415","0.1703883316","Drosophila_melanogaster"
"Ctenophora",89,"5","monophyletic","0.0100018552","0.1687133684","0.0064482449","Drosophila_melanogaster"
"Ctenophora",91,"15","monophyletic","1.6313817046","0.6096497088","0.5677780941","Drosophila_melanogaster"
"Ctenophora",92,"9","monophyletic","0.9125617532","0.3085526338","0.3744366723","Drosophila_melanogaster"
"Ctenophora",93,"15","monophyletic","1.6667069379","0.7001379527","0.4970658758","Drosophila_melanogaster"
"Ctenophora",96,"14","monophyletic","5.7676987281","0.0758424257","4.8019611099","Drosophila_melanogaster"
"Ctenophora",100,"15","monophyletic","4.7003038727","0.5626795406","0.9500904485","Drosophila_melanogaster"
"Ctenophora",101,"13","monophyletic","4.7901275779","0.3650310538","2.9827004176","Drosophila_melanogaster"
"Ctenophora",110,"19","monophyletic","1.1900391804","0.3914533222","0.2896106186","Drosophila_melanogaster"
"Ctenophora",113,"11","monophyletic","0.9864502722","0.9897829876","0.4195017329","Drosophila_melanogaster"
"Ctenophora",114,"4","monophyletic","6.5815272906","0.8603135674","3.3455539359","Drosophila_melanogaster"
"Ctenophora",115,"13","monophyletic","2.763431801","0.6535740912","0.8474198554","Drosophila_melanogaster"
"Ctenophora",116,"14","monophyletic","1.8451880311","0.674790923","0.4747477757","Drosophila_melanogaster"
"Porifera",12,"15","monophyletic","3.3664368992","0.037221397","0.5834184134","Drosophila_melanogaster"
"Porifera",42,"14","monophyletic","8.3853139596","0.0846497461","3.4126063327","Drosophila_melanogaster"
"Porifera",43,"16","monophyletic","4.7502354378","0.0586007002","1.091873989","Drosophila_melanogaster"
"Porifera",48,"17","monophyletic","1.628025594","0.0165436786","0.3503515477","Drosophila_melanogaster"
"Porifera",55,"11","monophyletic","3.8228261753","0.0292237118","0.880488505","Drosophila_melanogaster"
"Porifera",62,"15","monophyletic","3.1341069032","0.0437278377","0.5712939306","Drosophila_melanogaster"
"Porifera",64,"16","monophyletic","3.0577802941","0.02917551","0.7694106639","Drosophila_melanogaster"
"Porifera",91,"12","monophyletic","4.7614668365","0.0665009044","0.9326004258","Drosophila_melanogaster"
"Porifera",93,"17","monophyletic","6.512182641","0.0662160285","1.0476131929","Drosophila_melanogaster"
"Porifera",100,"13","monophyletic","6.7322176008","0.0634675297","1.5754377157","Drosophila_melanogaster"
"Porifera",107,"16","monophyletic","8.7367669257","0.0592645015","1.6777454806","Drosophila_melanogaster"
"Cnidaria",3,"13","monophyletic","1.3253583686","0.0389487828","0.318888887","Drosophila_melanogaster"
"Cnidaria",4,"8","monophyletic","5.9826119578","0.0620771349","4.2020177536","Drosophila_melanogaster"
"Cnidaria",10,"15","monophyletic","0.6813182317","0.027636321","0.2186469144","Drosophila_melanogaster"
"Cnidaria",16,"11","monophyletic","3.2861800461","0.0778336874","0.6021341642","Drosophila_melanogaster"
"Cnidaria",18,"9","monophyletic","2.6750749775","0.0453487059","0.7114541651","Drosophila_melanogaster"
"Cnidaria",21,"13","monophyletic","2.345630944","0.1365911077","0.8751772619","Drosophila_melanogaster"
"Cnidaria",22,"11","monophyletic","1.6203190855","0.0818569466","0.5132000807","Drosophila_melanogaster"
"Cnidaria",23,"13","monophyletic","2.5544481284","0.0905720855","0.5401791653","Drosophila_melanogaster"
"Cnidaria",25,"5","monophyletic","1.3455176428","0.0603794419","0.5711539819","Drosophila_melanogaster"
"Cnidaria",27,"11","monophyletic","2.1611580967","0.0845713105","0.5778314721","Drosophila_melanogaster"
"Cnidaria",28,"12","monophyletic","2.1639946887","0.1032335938","1.0367186997","Drosophila_melanogaster"
"Cnidaria",29,"14","monophyletic","1.6412963898","0.0432426142","0.3426978277","Drosophila_melanogaster"
"Cnidaria",32,"10","monophyletic","1.2529685576","0.0562911037","0.3625587654","Drosophila_melanogaster"
"Cnidaria",33,"12","monophyletic","0.8432205582","0.0244607013","0.2537825324","Drosophila_melanogaster"
"Cnidaria",34,"12","monophyletic","2.6708301073","0.0498825069","0.7005363414","Drosophila_melanogaster"
"Cnidaria",35,"12","monophyletic","1.9994620716","0.1122750516","0.5716831391","Drosophila_melanogaster"
"Cnidaria",37,"12","monophyletic","1.3801012837","0.0761012732","0.363115086","Drosophila_melanogaster"
"Cnidaria",42,"12","monophyletic","2.7906161612","0.081113119","0.9263740367","Drosophila_melanogaster"
"Cnidaria",49,"9","monophyletic","1.7364193207","0.0603459939","0.5438108591","Drosophila_melanogaster"
"Cnidaria",50,"14","monophyletic","1.6140451981","0.0791966432","0.4340455128","Drosophila_melanogaster"
"Cnidaria",52,"12","monophyletic","1.3211620792","0.0494907084","0.5283697925","Drosophila_melanogaster"
"Cnidaria",53,"11","monophyletic","1.4615507325","0.0346222074","0.4301190216","Drosophila_melanogaster"
"Cnidaria",54,"14","monophyletic","1.5407639245","0.0585510504","0.3906868741","Drosophila_melanogaster"
"Cnidaria",55,"9","monophyletic","2.0271990806","0.0766986939","0.7862426736","Drosophila_melanogaster"
"Cnidaria",56,"12","monophyletic","2.3035172267","0.0207117527","0.4263481891","Drosophila_melanogaster"
"Cnidaria",57,"12","monophyletic","2.3433811978","0.1064322531","0.5792831634","Drosophila_melanogaster"
"Cnidaria",58,"12","monophyletic","2.7326686537","0.0517007791","0.5360911464","Drosophila_melanogaster"
"Cnidaria",61,"14","monophyletic","2.3803585401","0.0167164656","0.5367859067","Drosophila_melanogaster"
"Cnidaria",64,"7","monophyletic","0.7602451194","0.0555176256","0.2732302436","Drosophila_melanogaster"
"Cnidaria",67,"15","monophyletic","2.5084778859","0.0313569699","0.6019484226","Drosophila_melanogaster"
"Cnidaria",69,"13","monophyletic","5.6779490599","0.0386395207","1.1171832983","Drosophila_melanogaster"
"Cnidaria",73,"9","monophyletic","1.1971460847","0.0371290781","0.3498019732","Drosophila_melanogaster"
"Cnidaria",74,"8","monophyletic","1.100897657","0.016072974","0.3573293798","Drosophila_melanogaster"
"Cnidaria",75,"14","monophyletic","1.5543144911","0.0327372892","0.4663712387","Drosophila_melanogaster"
"Cnidaria",76,"11","monophyletic","1.1538308676","0.0379636306","0.2241287624","Drosophila_melanogaster"
"Cnidaria",78,"11","monophyletic","1.2297091738","0.0257731533","0.3398965434","Drosophila_melanogaster"
"Cnidaria",79,"9","monophyletic","3.3078480957","0.0903628773","0.8879301505","Drosophila_melanogaster"
"Cnidaria",81,"15","monophyletic","3.0052241433","0.0553325872","0.5415575273","Drosophila_melanogaster"
"Cnidaria",83,"9","monophyletic","1.2407764658","0.0677607049","0.4333853444","Drosophila_melanogaster"
"Cnidaria",84,"12","monophyletic","3.6508384678","0.0827330388","0.8801154749","Drosophila_melanogaster"
"Cnidaria",86,"12","monophyletic","2.4418671073","0.1113660747","0.7365802621","Drosophila_melanogaster"
"Cnidaria",87,"15","monophyletic","2.4036055817","0.0345039992","0.4452726841","Drosophila_melanogaster"
"Cnidaria",89,"13","monophyletic","0.6191518102","0.0313537354","0.2024777672","Drosophila_melanogaster"
"Cnidaria",93,"12","monophyletic","3.0372294216","0.0909056259","0.6232184131","Drosophila_melanogaster"
"Cnidaria",99,"11","monophyletic","0.4053022447","0.011007676","0.1084488946","Drosophila_melanogaster"
"Cnidaria",101,"8","monophyletic","1.4784133623","0.0520673018","0.5096663705","Drosophila_melanogaster"
"Cnidaria",104,"10","monophyletic","0.8019942744","0.0532401054","0.2438371533","Drosophila_melanogaster"
"Cnidaria",105,"15","monophyletic","2.8564114521","0.0570382427","0.7109702579","Drosophila_melanogaster"
"Cnidaria",107,"12","monophyletic","2.6438328298","0.0402087974","0.6765592798","Drosophila_melanogaster"
"Cnidaria",110,"15","monophyletic","1.3938076851","0.0565030548","0.360391449","Drosophila_melanogaster"
"Cnidaria",112,"12","monophyletic","3.0700652935","0.0421144733","0.8940139824","Drosophila_melanogaster"
"Cnidaria",113,"10","monophyletic","1.0513863542","0.0855542995","0.3785864414","Drosophila_melanogaster"
"Cnidaria",114,"11","monophyletic","2.1168145441","0.1078540231","0.5517368955","Drosophila_melanogaster"
"Cnidaria",116,"14","monophyletic","3.197160899","0.0641413259","1.2236736898","Drosophila_melanogaster"
"Cnidaria",117,"4","monophyletic","1.0179262491","0.1498941577","0.5024070423","Drosophila_melanogaster"
"Bilateria",5,"5","monophyletic","1.7943664304","0.071165771","0.8176391478","Oscarella_carmela"
"Bilateria",7,"6","monophyletic","1.7963373034","0.0326302722","0.5973183564","Oscarella_carmela"
"Bilateria",10,"6","monophyletic","0.5395659929","0.0144501604","0.1694045622","Oscarella_carmela"
"Bilateria",12,"6","monophyletic","1.1251729713","0.0342605883","0.3445947962","Oscarella_carmela"
"Bilateria",14,"6","monophyletic","2.0379153433","0.0977775422","0.5163555523","Oscarella_carmela"
"Bilateria",19,"6","monophyletic","2.5158686066","0.1419751438","0.908411388","Oscarella_carmela"
"Bilateria",21,"6","monophyletic","1.9574204497","0.0826829428","0.7357326306","Oscarella_carmela"
"Bilateria",23,"6","monophyletic","3.6520936793","0.095483165","1.0676654103","Oscarella_carmela"
"Bilateria",25,"5","monophyletic","2.941652837","0.0463525132","1.2499100055","Oscarella_carmela"
"Bilateria",27,"6","monophyletic","2.6301246644","0.1088023847","0.894615281","Oscarella_carmela"
"Bilateria",29,"6","monophyletic","0.4656050204","0.0494191429","0.1407317418","Oscarella_carmela"
"Bilateria",32,"6","monophyletic","1.5116617999","0.0256062178","0.4562787939","Oscarella_carmela"
"Bilateria",33,"6","monophyletic","0.6665068615","0.0297819648","0.2187634605","Oscarella_carmela"
"Bilateria",35,"6","monophyletic","2.0994169751","0.1150585917","0.6818204632","Oscarella_carmela"
"Bilateria",37,"6","monophyletic","1.7302749915","0.0556581353","0.504248883","Oscarella_carmela"
"Bilateria",39,"6","monophyletic","2.7726867087","0.1018088804","0.9660036078","Oscarella_carmela"
"Bilateria",41,"6","monophyletic","2.1237618881","0.0514517538","0.5500700223","Oscarella_carmela"
"Bilateria",42,"6","monophyletic","2.8914383035","0.0976810795","0.8373412957","Oscarella_carmela"
"Bilateria",46,"5","monophyletic","1.1054882751","0.0251929522","0.3103065253","Oscarella_carmela"
"Bilateria",47,"6","monophyletic","0.6870333588","0.0224038947","0.2216616332","Oscarella_carmela"
"Bilateria",49,"6","monophyletic","1.5748753437","0.0779838767","0.3574488554","Oscarella_carmela"
"Bilateria",50,"6","monophyletic","1.8648868191","0.102145135","0.6090486044","Oscarella_carmela"
"Bilateria",52,"6","monophyletic","1.6293799008","0.0244898175","0.7164900811","Oscarella_carmela"
"Bilateria",53,"5","monophyletic","6.606444271","0.0776475479","4.791949805","Oscarella_carmela"
"Bilateria",54,"6","monophyletic","1.9121848521","0.0445534145","0.5113242804","Oscarella_carmela"
"Bilateria",55,"6","monophyletic","3.0339421751","0.0890258351","0.8345604172","Oscarella_carmela"
