"row_description","tree","tree_root","gene","num_missing_taxa","tree_length","Abylopsis_tetragona","Acanthoeca_sp","Acropora_digitifera","Agalma_elegans","Aiptasia_pallida","Amphimedon_queenslandica","Aphrocallistes_vastus","Beroe_abyssicola","Beroe_forskalii","Beroe_ovata","Beroe_sp_Antarctica","Beroe_sp_Queensland_Australia","Bolinopsis_ashleyi","Bolinopsis_infundibulum","Bolocera_tuediae","Callianira_Antarctica","Capitella_teleta","Cestum_veneris","Chondrilla_nucula","Cliona_varians","Coeloplana_astericola","Corticium_candelabrum","Craseo_lathetica","Crella_elegans","Ctenophora_sp_Florida_USA","Cydippida_sp","Cydippida_sp_Maryland_USA","Daphnia_pulex","Drosophila_melanogaster","Dryodora_glandiformis","Eunicella_verrucosa","Euplokamis_dunlapae","Eurhamphaea_vexilligera","Hemithris_psittacea","Homo_sapiens","Hormathia_digitata","Hormiphora_californica","Hormiphora_palmata","Hyalonema_populiferum","Hydra_oligactis","Hydra_viridissima","Hydra_vulgaris","Ircinia_fasciculata","Kirkpatrickia_variolosa","Latrunculia_apicalis","Lobata_sp_Punta_Arenas_Argentina","Lobatolampea_tetragona","Mertensiidae_sp_Antarctica","Mertensiidae_sp_Washington_USA","Mnemiopsis_leidyi","Monosiga_brevicolis","Monosiga_ovata","Mycale_phylophylla","Nanomia_bijuga","Nematostella_vectensis","Ocyropsis_crystallina","Ocyropsis_sp_Bimini_Bahamas","Ocyropsis_sp_Florida_USA","Oscarella_carmela","Periphyla_periphyla","Petrosia_ficiformis","Physalia_physalia","Pleurobrachia_bachei","Pleurobrachia_pileus","Pleurobrachia_sp_South_Carolina_USA","Pseudospongosorites_suberitoides","Rossella_fibulata","Salpingoeca_pyxidium","Salpingoeca_rosetta","Spongilla_lacustris","Strongylocentrotus_purpatus","Sycon_ciliatum","Sycon_coactum","Sympagella_nux","Vallicula_sp"
"root_to_tip_distance","Partitioned_ML","Drosophila_melanogaster",NA,"0","16.9009656105","0.7809383498","1.2276619467","0.6530604467","0.7204319748","0.5901132121","0.8552779887","1.1170363708","1.1175283712","1.1214924802","1.1315974745","1.1860675099","1.1314793701","1.2459021528","1.1191315395","0.5819383619","1.0589049187","0.4389397908","1.1507425357","0.8348596577","0.7671661381","1.0491356829","0.7406251832","0.7349742824","0.8772563748","1.0980649759","1.0983183472","1.0799191294","0.2805124785","0.4208241684","1.1051134592","0.5916100267","0.9396143986","1.0730529245","0.4352586475","0.4707813715","0.581529553","1.1007750248","1.1309609784","1.1732311868","0.7232565326","0.702497241","0.7151593932","0.7722018075","0.8206247283","0.8201973497","1.1175321385","1.4133001935","1.0558225573","1.0729549225","1.0882566895","1.3297894755","1.1093603663","0.8380221885","0.7394668953","0.5718544128","1.0841524869","1.087102059","1.1680255301","0.7201092108","0.6151305307","0.7917213441","0.7254861204","1.1941520296","1.11243883","1.1243097991","0.7709857337","1.1413692586","1.4242205754","1.3271672084","0.7973081791","0.4810362201","0.8185707125","0.8355158531","1.1427724611","1.0511308566"
"root_to_tip_distance","gene_tree_001","Drosophila_melanogaster","1","32","5.9107176337","0.3302900239","0.5752232831","0.2285237942",NA,"0.5967934414","0.4068930586","0.5458905781",NA,NA,NA,NA,NA,NA,NA,"0.2230549733",NA,"0.2983459783",NA,"0.3135821992","0.3703177681",NA,"0.4033356674","0.3656249363","0.2208549206",NA,NA,NA,"0.1314743589","0.1158920601",NA,"0.2947811974",NA,NA,"0.197631973","0.3693377362","0.2437165699",NA,NA,"0.2545054516","0.4138179092","0.3886086279","0.4160134196","0.362890678","0.410452073","0.3796899641",NA,NA,NA,NA,NA,"0.4547502822","0.6039660519","0.3872770882","0.3413929628","0.3195625824",NA,NA,NA,"0.3354808173","0.3306407077","0.4502964153","0.2772006801",NA,NA,NA,NA,"0.568597689","0.4790938106","0.5043060953","0.1833900003","0.3744364481","0.3800498129","0.1848099274","0.5573127272",NA
"root_to_tip_distance","gene_tree_002","Drosophila_melanogaster","2","37","10.2700578162","0.676256445","0.7116534453","0.4928283343",NA,"1.0474567724","0.5246146256","0.8133973716",NA,NA,NA,NA,NA,"1.003362309",NA,"0.3578453809",NA,"0.3956294714",NA,"0.5958895611","0.5324075912",NA,NA,"0.5140453472",NA,NA,NA,NA,"0.2097860586","0.3703751278",NA,"0.4004621799",NA,NA,"0.3921636613","0.4234070463","0.3449783808",NA,NA,NA,NA,"0.4841712135","0.4633618297","0.7906380311",NA,"0.4783822218",NA,NA,NA,NA,NA,"0.7283438795",NA,"0.5287125239","0.5124240281","0.3253787903",NA,NA,NA,"0.4657820241","0.3794524684","0.4982136317","0.4566819026",NA,NA,NA,NA,"0.8434583978","0.6105994807","0.7557901915","0.5833521245","0.4422874699","0.5654565044","0.5873331916","0.8459758855",NA
"root_to_tip_distance","gene_tree_003","Drosophila_melanogaster","3","35","6.9650158052","0.46903205","0.5065855603",NA,"0.4808520663","0.4082960842","0.4082654361","0.6627820526",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.230041516",NA,NA,"0.3712033256",NA,"0.3967020892","0.4544443591",NA,NA,NA,NA,"0.2144031995","0.2487884756",NA,"0.3567576097",NA,NA,"0.2377903119","0.2950859557","0.405528382",NA,NA,"0.6921397182","0.5108757663","0.4807924403","0.4882186508","0.3991623089","0.4750061185","0.4618770823",NA,NA,NA,NA,NA,"0.4446062824","0.421967059","0.4635000735","0.4942344381","0.3823398936",NA,NA,NA,"0.4010196635","0.4659692525",NA,"0.5065810561",NA,NA,NA,"0.4118851545","0.7133725144","0.7232234746","0.4240004207","0.3721259242","0.3507442373","0.5407204655","0.5256505997","0.6650529551",NA
"root_to_tip_distance","gene_tree_004","Drosophila_melanogaster","4","34","20.4861364024","0.7660408345",NA,"0.7812417636","0.7725071698","0.6125659427","0.6788110494","1.0004676146",NA,"1.1377854282","1.1518019198",NA,"1.2193842429",NA,NA,NA,NA,"0.6543366038",NA,"0.7130113032",NA,"1.4294337674","0.6168075005","0.6355454828",NA,NA,"1.1109232009","1.2467137019","0.5267149407","0.5321372311","1.0812728078",NA,"0.7767983901","1.0846759444",NA,"0.5953380206",NA,"1.1084268037","1.0869553585",NA,NA,NA,"0.7877046249",NA,NA,"0.763262589",NA,"1.7065037997",NA,"1.0970142536",NA,"0.8958227932","0.9116094199",NA,NA,"4.4809859101","1.0812419529","1.0924571158",NA,"0.6136878889",NA,NA,"0.680197121","3.2224403978",NA,NA,NA,"1.0996764876",NA,"0.9503168426","0.6034209927",NA,"0.9475049233",NA,"1.0507288471",NA
"root_to_tip_distance","gene_tree_005","Drosophila_melanogaster","5","31","13.529691995","0.7407432208","1.0468749108",NA,"0.7277854093","0.5835107932","1.0142883951","1.8656832195","0.9107682497",NA,NA,"0.8957958396",NA,NA,NA,NA,NA,"0.3689387717",NA,"0.8186981821",NA,"1.0228465728","0.6828304098",NA,NA,NA,"0.95283225","0.9526857247","0.296669975","0.5935618067","0.9567641342",NA,NA,NA,NA,"0.5052801885","0.641054011","0.9921334353",NA,"1.8728327309",NA,NA,"0.7037723245","1.0506945303","0.8784007537","0.9066505141","0.8966394249",NA,"0.9865339005","0.9706016474","0.8872368678","1.131920295","1.0064885528",NA,NA,"0.6965993603",NA,"0.8835115991","1.2260544408","0.6728695585","0.7656454662","0.9547092838",NA,"1.0618348739",NA,NA,NA,NA,"0.9261633541","1.2082248573",NA,"0.4758859669","0.9056531015",NA,"2.0084646165","1.0754530269"
"root_to_tip_distance","gene_tree_006","Drosophila_melanogaster","6","32","16.9323697321",NA,"1.1324059335",NA,"0.8793053499","0.5756589388","0.9317625553","1.1171632822",NA,NA,"1.3770494447",NA,"1.3597556131",NA,NA,NA,NA,"0.4795577546",NA,"0.832731543","0.7493124931",NA,NA,"0.8855661475","0.7673942658",NA,NA,"1.244735176","0.2575051788","0.2772107184","1.2211510068","0.6588509728",NA,NA,"0.4435115697","0.5876573721",NA,"1.1256923678","1.1256908409",NA,"0.8650925716","0.8845231912","0.9022223567","0.6551750439",NA,"0.7548251048",NA,"1.5010008962","1.1688562747","1.1688564239","2.1804155089",NA,NA,NA,"0.8836423584","0.5122626082","1.1619316421",NA,NA,"0.6103700336",NA,"0.9310197145",NA,NA,"1.1403991563",NA,NA,"1.1371917258","5.7852892251","0.8484073028","0.8397517795","0.5371481939","0.9801334593",NA,"1.166083308",NA
"root_to_tip_distance","gene_tree_007","Drosophila_melanogaster","7","12","15.3573176091","0.8989877683","1.3460915783","0.6929590997","0.8316870477","0.6112333925","0.7859540517","1.2010173992","0.9099648393","0.9111995327",NA,"0.8580138933",NA,NA,"3.1218493245",NA,"0.8590222481","0.5387827713",NA,"0.8657347032","1.3788511458",NA,"0.7139237759","0.9054015247","1.2422364182","0.8538479702","1.0108193925",NA,"0.2982290695","0.1394339923","0.9363014592","0.6429125526","0.8581858179","0.8937485209","0.5049616244","0.6008896365",NA,"0.9105501643","0.9105502806",NA,"0.8063085025","0.7693952042","0.8006469745","0.7769406046","1.2620861027","1.231733968","1.2049546188",NA,"0.847334801",NA,"0.8792462551","1.1857814675","1.3699125128","1.4198634684","0.8810523083","0.5359551505","0.8828030043","0.8890325121","0.8984605715","0.7513201502","0.632909893","0.7884850252","0.8113388036","1.1333026476","0.941295231","0.947832835","1.4700847003","1.0940224042","1.9260536231","1.2066714557","1.1189614363","0.6402012646","0.8252316975",NA,"1.0600858559","0.8795248075"
"root_to_tip_distance","gene_tree_008","Drosophila_melanogaster","8","37","5.8447309021",NA,"0.1980110734",NA,NA,NA,"0.0637188234","0.327850468",NA,"0.6199145766",NA,"0.4008485986","0.5801577578",NA,NA,NA,"0.2514370706","0.3403673247",NA,"0.2349273075","0.1582496402",NA,"0.1707778649",NA,"0.1013289446","0.3323913793",NA,NA,"0.0816709359","0.1044162668","0.4022380187","0.1638756174","0.2094468745",NA,"0.0619103532","0.0662975211","0.1294744222",NA,"0.2778282455","0.3419289316",NA,"0.0314199384",NA,"0.364558124","0.3028646769","0.1546070098",NA,NA,"0.2607484891",NA,NA,"0.2971423471",NA,NA,"0.0336705499",NA,NA,NA,NA,"0.1155264568","1.2149132788",NA,NA,NA,"0.311732509",NA,NA,NA,"1.8253193762","0.2229102638","0.1363410765","0.0321240216",NA,"0.2656397928",NA,NA
"root_to_tip_distance","gene_tree_009","Drosophila_melanogaster","9","35","21.6541631348","1.6427776942",NA,"1.0900840765","1.4662631872","0.8033575561","1.5041969511","1.1801692206",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.597446884",NA,NA,"1.0830061779",NA,"0.965823436","1.5241682343","1.7724624331",NA,NA,NA,"0.3169202173","0.4461630872",NA,"1.060061047",NA,NA,"0.6226099723","0.7180141006","0.8912816225",NA,NA,NA,"1.585769121","1.559313167","1.5973409447","1.3625328365","1.7422835577","1.6770198421",NA,"3.4033964903",NA,NA,NA,"1.9510019744","1.4801020759","1.772151735","1.5577165771","0.8789011425",NA,NA,NA,"1.0472797736","1.1128386539",NA,"1.3826137995",NA,NA,NA,"1.0920995554","1.291168762","1.7421514328","1.2362190133","1.5489692338","1.0304880514","0.98171115",NA,"1.3067497286",NA
