"dataset","matrix_name","dataset_id","gene_name","gene_id","gene_start","gene_end","gene_file","alignment_file","partition_file","gene_directory"
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0001","Borowiec2015.Best108.gene_0001",1,492,"Borowiec2015.Best108.gene_0001.fa","Borowiec2015.Best108.aa.alignment.phy","Borowiec2015_partitions_formatted.nex","/Users/caitlincherryh/Documents/C4_Ancient_ILS/02_02_empirical_genes_initial_tree_estimation/Borowiec2015.Best108/"
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0002","Borowiec2015.Best108.gene_0002",493,975,"Borowiec2015.Best108.gene_0002.fa","Borowiec2015.Best108.aa.alignment.phy","Borowiec2015_partitions_formatted.nex","/Users/caitlincherryh/Documents/C4_Ancient_ILS/02_02_empirical_genes_initial_tree_estimation/Borowiec2015.Best108/"
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0003","Borowiec2015.Best108.gene_0003",976,1253,"Borowiec2015.Best108.gene_0003.fa","Borowiec2015.Best108.aa.alignment.phy","Borowiec2015_partitions_formatted.nex","/Users/caitlincherryh/Documents/C4_Ancient_ILS/02_02_empirical_genes_initial_tree_estimation/Borowiec2015.Best108/"
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0004","Borowiec2015.Best108.gene_0004",1254,1522,"Borowiec2015.Best108.gene_0004.fa","Borowiec2015.Best108.aa.alignment.phy","Borowiec2015_partitions_formatted.nex","/Users/caitlincherryh/Documents/C4_Ancient_ILS/02_02_empirical_genes_initial_tree_estimation/Borowiec2015.Best108/"
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0005","Borowiec2015.Best108.gene_0005",1523,2145,"Borowiec2015.Best108.gene_0005.fa","Borowiec2015.Best108.aa.alignment.phy","Borowiec2015_partitions_formatted.nex","/Users/caitlincherryh/Documents/C4_Ancient_ILS/02_02_empirical_genes_initial_tree_estimation/Borowiec2015.Best108/"
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0006","Borowiec2015.Best108.gene_0006",2146,2414,"Borowiec2015.Best108.gene_0006.fa","Borowiec2015.Best108.aa.alignment.phy","Borowiec2015_partitions_formatted.nex","/Users/caitlincherryh/Documents/C4_Ancient_ILS/02_02_empirical_genes_initial_tree_estimation/Borowiec2015.Best108/"
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0007","Borowiec2015.Best108.gene_0007",2415,2755,"Borowiec2015.Best108.gene_0007.fa","Borowiec2015.Best108.aa.alignment.phy","Borowiec2015_partitions_formatted.nex","/Users/caitlincherryh/Documents/C4_Ancient_ILS/02_02_empirical_genes_initial_tree_estimation/Borowiec2015.Best108/"
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0008","Borowiec2015.Best108.gene_0008",2756,3113,"Borowiec2015.Best108.gene_0008.fa","Borowiec2015.Best108.aa.alignment.phy","Borowiec2015_partitions_formatted.nex","/Users/caitlincherryh/Documents/C4_Ancient_ILS/02_02_empirical_genes_initial_tree_estimation/Borowiec2015.Best108/"
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0009","Borowiec2015.Best108.gene_0009",3114,3964,"Borowiec2015.Best108.gene_0009.fa","Borowiec2015.Best108.aa.alignment.phy","Borowiec2015_partitions_formatted.nex","/Users/caitlincherryh/Documents/C4_Ancient_ILS/02_02_empirical_genes_initial_tree_estimation/Borowiec2015.Best108/"
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0010","Borowiec2015.Best108.gene_0010",3965,4275,"Borowiec2015.Best108.gene_0010.fa","Borowiec2015.Best108.aa.alignment.phy","Borowiec2015_partitions_formatted.nex","/Users/caitlincherryh/Documents/C4_Ancient_ILS/02_02_empirical_genes_initial_tree_estimation/Borowiec2015.Best108/"
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0011","Borowiec2015.Best108.gene_0011",4276,4741,"Borowiec2015.Best108.gene_0011.fa","Borowiec2015.Best108.aa.alignment.phy","Borowiec2015_partitions_formatted.nex","/Users/caitlincherryh/Documents/C4_Ancient_ILS/02_02_empirical_genes_initial_tree_estimation/Borowiec2015.Best108/"
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0012","Borowiec2015.Best108.gene_0012",4742,4948,"Borowiec2015.Best108.gene_0012.fa","Borowiec2015.Best108.aa.alignment.phy","Borowiec2015_partitions_formatted.nex","/Users/caitlincherryh/Documents/C4_Ancient_ILS/02_02_empirical_genes_initial_tree_estimation/Borowiec2015.Best108/"
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0013","Borowiec2015.Best108.gene_0013",4949,5205,"Borowiec2015.Best108.gene_0013.fa","Borowiec2015.Best108.aa.alignment.phy","Borowiec2015_partitions_formatted.nex","/Users/caitlincherryh/Documents/C4_Ancient_ILS/02_02_empirical_genes_initial_tree_estimation/Borowiec2015.Best108/"
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0014","Borowiec2015.Best108.gene_0014",5206,6402,"Borowiec2015.Best108.gene_0014.fa","Borowiec2015.Best108.aa.alignment.phy","Borowiec2015_partitions_formatted.nex","/Users/caitlincherryh/Documents/C4_Ancient_ILS/02_02_empirical_genes_initial_tree_estimation/Borowiec2015.Best108/"
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0015","Borowiec2015.Best108.gene_0015",6403,6661,"Borowiec2015.Best108.gene_0015.fa","Borowiec2015.Best108.aa.alignment.phy","Borowiec2015_partitions_formatted.nex","/Users/caitlincherryh/Documents/C4_Ancient_ILS/02_02_empirical_genes_initial_tree_estimation/Borowiec2015.Best108/"
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0016","Borowiec2015.Best108.gene_0016",6662,7232,"Borowiec2015.Best108.gene_0016.fa","Borowiec2015.Best108.aa.alignment.phy","Borowiec2015_partitions_formatted.nex","/Users/caitlincherryh/Documents/C4_Ancient_ILS/02_02_empirical_genes_initial_tree_estimation/Borowiec2015.Best108/"
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0017","Borowiec2015.Best108.gene_0017",7233,7699,"Borowiec2015.Best108.gene_0017.fa","Borowiec2015.Best108.aa.alignment.phy","Borowiec2015_partitions_formatted.nex","/Users/caitlincherryh/Documents/C4_Ancient_ILS/02_02_empirical_genes_initial_tree_estimation/Borowiec2015.Best108/"
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0018","Borowiec2015.Best108.gene_0018",7700,7952,"Borowiec2015.Best108.gene_0018.fa","Borowiec2015.Best108.aa.alignment.phy","Borowiec2015_partitions_formatted.nex","/Users/caitlincherryh/Documents/C4_Ancient_ILS/02_02_empirical_genes_initial_tree_estimation/Borowiec2015.Best108/"
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0019","Borowiec2015.Best108.gene_0019",7953,8340,"Borowiec2015.Best108.gene_0019.fa","Borowiec2015.Best108.aa.alignment.phy","Borowiec2015_partitions_formatted.nex","/Users/caitlincherryh/Documents/C4_Ancient_ILS/02_02_empirical_genes_initial_tree_estimation/Borowiec2015.Best108/"
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0020","Borowiec2015.Best108.gene_0020",8341,8785,"Borowiec2015.Best108.gene_0020.fa","Borowiec2015.Best108.aa.alignment.phy","Borowiec2015_partitions_formatted.nex","/Users/caitlincherryh/Documents/C4_Ancient_ILS/02_02_empirical_genes_initial_tree_estimation/Borowiec2015.Best108/"
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0021","Borowiec2015.Best108.gene_0021",8786,9217,"Borowiec2015.Best108.gene_0021.fa","Borowiec2015.Best108.aa.alignment.phy","Borowiec2015_partitions_formatted.nex","/Users/caitlincherryh/Documents/C4_Ancient_ILS/02_02_empirical_genes_initial_tree_estimation/Borowiec2015.Best108/"
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0022","Borowiec2015.Best108.gene_0022",9218,9704,"Borowiec2015.Best108.gene_0022.fa","Borowiec2015.Best108.aa.alignment.phy","Borowiec2015_partitions_formatted.nex","/Users/caitlincherryh/Documents/C4_Ancient_ILS/02_02_empirical_genes_initial_tree_estimation/Borowiec2015.Best108/"
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0023","Borowiec2015.Best108.gene_0023",9705,10029,"Borowiec2015.Best108.gene_0023.fa","Borowiec2015.Best108.aa.alignment.phy","Borowiec2015_partitions_formatted.nex","/Users/caitlincherryh/Documents/C4_Ancient_ILS/02_02_empirical_genes_initial_tree_estimation/Borowiec2015.Best108/"
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0024","Borowiec2015.Best108.gene_0024",10030,10601,"Borowiec2015.Best108.gene_0024.fa","Borowiec2015.Best108.aa.alignment.phy","Borowiec2015_partitions_formatted.nex","/Users/caitlincherryh/Documents/C4_Ancient_ILS/02_02_empirical_genes_initial_tree_estimation/Borowiec2015.Best108/"
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0025","Borowiec2015.Best108.gene_0025",10602,10800,"Borowiec2015.Best108.gene_0025.fa","Borowiec2015.Best108.aa.alignment.phy","Borowiec2015_partitions_formatted.nex","/Users/caitlincherryh/Documents/C4_Ancient_ILS/02_02_empirical_genes_initial_tree_estimation/Borowiec2015.Best108/"
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0026","Borowiec2015.Best108.gene_0026",10801,10971,"Borowiec2015.Best108.gene_0026.fa","Borowiec2015.Best108.aa.alignment.phy","Borowiec2015_partitions_formatted.nex","/Users/caitlincherryh/Documents/C4_Ancient_ILS/02_02_empirical_genes_initial_tree_estimation/Borowiec2015.Best108/"
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0027","Borowiec2015.Best108.gene_0027",10972,11527,"Borowiec2015.Best108.gene_0027.fa","Borowiec2015.Best108.aa.alignment.phy","Borowiec2015_partitions_formatted.nex","/Users/caitlincherryh/Documents/C4_Ancient_ILS/02_02_empirical_genes_initial_tree_estimation/Borowiec2015.Best108/"
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0028","Borowiec2015.Best108.gene_0028",11528,11714,"Borowiec2015.Best108.gene_0028.fa","Borowiec2015.Best108.aa.alignment.phy","Borowiec2015_partitions_formatted.nex","/Users/caitlincherryh/Documents/C4_Ancient_ILS/02_02_empirical_genes_initial_tree_estimation/Borowiec2015.Best108/"
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0029","Borowiec2015.Best108.gene_0029",11715,11837,"Borowiec2015.Best108.gene_0029.fa","Borowiec2015.Best108.aa.alignment.phy","Borowiec2015_partitions_formatted.nex","/Users/caitlincherryh/Documents/C4_Ancient_ILS/02_02_empirical_genes_initial_tree_estimation/Borowiec2015.Best108/"
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0030","Borowiec2015.Best108.gene_0030",11838,12249,"Borowiec2015.Best108.gene_0030.fa","Borowiec2015.Best108.aa.alignment.phy","Borowiec2015_partitions_formatted.nex","/Users/caitlincherryh/Documents/C4_Ancient_ILS/02_02_empirical_genes_initial_tree_estimation/Borowiec2015.Best108/"
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0031","Borowiec2015.Best108.gene_0031",12250,12670,"Borowiec2015.Best108.gene_0031.fa","Borowiec2015.Best108.aa.alignment.phy","Borowiec2015_partitions_formatted.nex","/Users/caitlincherryh/Documents/C4_Ancient_ILS/02_02_empirical_genes_initial_tree_estimation/Borowiec2015.Best108/"
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0032","Borowiec2015.Best108.gene_0032",12671,12945,"Borowiec2015.Best108.gene_0032.fa","Borowiec2015.Best108.aa.alignment.phy","Borowiec2015_partitions_formatted.nex","/Users/caitlincherryh/Documents/C4_Ancient_ILS/02_02_empirical_genes_initial_tree_estimation/Borowiec2015.Best108/"
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0033","Borowiec2015.Best108.gene_0033",12946,13238,"Borowiec2015.Best108.gene_0033.fa","Borowiec2015.Best108.aa.alignment.phy","Borowiec2015_partitions_formatted.nex","/Users/caitlincherryh/Documents/C4_Ancient_ILS/02_02_empirical_genes_initial_tree_estimation/Borowiec2015.Best108/"
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0034","Borowiec2015.Best108.gene_0034",13239,13592,"Borowiec2015.Best108.gene_0034.fa","Borowiec2015.Best108.aa.alignment.phy","Borowiec2015_partitions_formatted.nex","/Users/caitlincherryh/Documents/C4_Ancient_ILS/02_02_empirical_genes_initial_tree_estimation/Borowiec2015.Best108/"
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0035","Borowiec2015.Best108.gene_0035",13593,14034,"Borowiec2015.Best108.gene_0035.fa","Borowiec2015.Best108.aa.alignment.phy","Borowiec2015_partitions_formatted.nex","/Users/caitlincherryh/Documents/C4_Ancient_ILS/02_02_empirical_genes_initial_tree_estimation/Borowiec2015.Best108/"
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0036","Borowiec2015.Best108.gene_0036",14035,14495,"Borowiec2015.Best108.gene_0036.fa","Borowiec2015.Best108.aa.alignment.phy","Borowiec2015_partitions_formatted.nex","/Users/caitlincherryh/Documents/C4_Ancient_ILS/02_02_empirical_genes_initial_tree_estimation/Borowiec2015.Best108/"
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0037","Borowiec2015.Best108.gene_0037",14496,14699,"Borowiec2015.Best108.gene_0037.fa","Borowiec2015.Best108.aa.alignment.phy","Borowiec2015_partitions_formatted.nex","/Users/caitlincherryh/Documents/C4_Ancient_ILS/02_02_empirical_genes_initial_tree_estimation/Borowiec2015.Best108/"
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0038","Borowiec2015.Best108.gene_0038",14700,15062,"Borowiec2015.Best108.gene_0038.fa","Borowiec2015.Best108.aa.alignment.phy","Borowiec2015_partitions_formatted.nex","/Users/caitlincherryh/Documents/C4_Ancient_ILS/02_02_empirical_genes_initial_tree_estimation/Borowiec2015.Best108/"
