"id","dataset","matrix_name","dataset_id","model","tree_topology","Plac_present","gcf_branch_files","gcf_stat_files","MET_ID","MET_gCF","MET_gCF_N","MET_gDF1","MET_gDF1_N","MET_gDF2","MET_gDF2_N","MET_gDFP","MET_gDFP_N","MET_gN","MET_Length","KEY_ID","KEY_gCF","KEY_gCF_N","KEY_gDF1","KEY_gDF1_N","KEY_gDF2","KEY_gDF2_N","KEY_gDFP","KEY_gDFP_N","KEY_gN","KEY_Length","CTEN_ID","CTEN_gCF","CTEN_gCF_N","CTEN_gDF1","CTEN_gDF1_N","CTEN_gDF2","CTEN_gDF2_N","CTEN_gDFP","CTEN_gDFP_N","CTEN_gN","CTEN_Length","CTEN_monophyly","PORI_ID","PORI_gCF","PORI_gCF_N","PORI_gDF1","PORI_gDF1_N","PORI_gDF2","PORI_gDF2_N","PORI_gDFP","PORI_gDFP_N","PORI_gN","PORI_Length","PORI_monophyly"
"Borowiec2015.Best108.C60.CTEN_PORI","Borowiec2015","Best108","Borowiec2015.Best108","C60","CTEN_PORI","Plac","/Users/caitlincherryh/Documents/C4_Ancient_ILS/06_cf_analyses/gcf_c60/Borowiec2015.Best108.C60.CTEN_PORI.gcf.cf.branch","/Users/caitlincherryh/Documents/C4_Ancient_ILS/06_cf_analyses/gcf_c60/Borowiec2015.Best108.C60.CTEN_PORI.gcf.cf.stat","58","95.88","93","0","0","0","0","4.12","4","97","0.673897","59","11.96","11","11.96","11","16.3","15","59.78","55","92","0.030111","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Single_tip","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Single_tip"
"Borowiec2015.Best108.C60.CTEN","Borowiec2015","Best108","Borowiec2015.Best108","C60","CTEN","Plac","/Users/caitlincherryh/Documents/C4_Ancient_ILS/06_cf_analyses/gcf_c60/Borowiec2015.Best108.C60.CTEN.gcf.cf.branch","/Users/caitlincherryh/Documents/C4_Ancient_ILS/06_cf_analyses/gcf_c60/Borowiec2015.Best108.C60.CTEN.gcf.cf.stat","59","95.65","88","0","0","0","0","4.35","4","92","0.638139","58","16.3","15","11.96","11","11.96","11","59.78","55","92","0.0411379","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Single_tip","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Single_tip"
"Borowiec2015.Best108.C60.PORI","Borowiec2015","Best108","Borowiec2015.Best108","C60","PORI","Plac","/Users/caitlincherryh/Documents/C4_Ancient_ILS/06_cf_analyses/gcf_c60/Borowiec2015.Best108.C60.PORI.gcf.cf.branch","/Users/caitlincherryh/Documents/C4_Ancient_ILS/06_cf_analyses/gcf_c60/Borowiec2015.Best108.C60.PORI.gcf.cf.stat","59","95.65","88","0","0","1.09","1","3.26","3","92","0.659113","58","11.96","11","16.3","15","11.96","11","59.78","55","92","0.0144626","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Single_tip","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Single_tip"
"Chang2015.Chang_AA.C60.CTEN_PORI","Chang2015","Chang_AA","Chang2015.Chang_AA","C60","CTEN_PORI","Plac","/Users/caitlincherryh/Documents/C4_Ancient_ILS/06_cf_analyses/gcf_c60/Chang2015.Chang_AA.C60.CTEN_PORI.gcf.cf.branch","/Users/caitlincherryh/Documents/C4_Ancient_ILS/06_cf_analyses/gcf_c60/Chang2015.Chang_AA.C60.CTEN_PORI.gcf.cf.stat","81","39.5","79","0","0","0","0","60.5","121","200","0.104785","131","1.5","3","8","16","2","4","88.5","177","200","0.00361682","144","97.34","183","0","0","0","0","2.66","5","188","0.378505","Monophyletic","132","5","10","2","4","4","8","89","178","200","0.0115966","Monophyletic"
"Chang2015.Chang_AA.C60.CTEN","Chang2015","Chang_AA","Chang2015.Chang_AA","C60","CTEN","Plac","/Users/caitlincherryh/Documents/C4_Ancient_ILS/06_cf_analyses/gcf_c60/Chang2015.Chang_AA.C60.CTEN.gcf.cf.branch","/Users/caitlincherryh/Documents/C4_Ancient_ILS/06_cf_analyses/gcf_c60/Chang2015.Chang_AA.C60.CTEN.gcf.cf.stat","81","39.5","79","2.5","5","1","2","57","114","200","0.0881938","82","8","16","2","4","1.5","3","88.5","177","200","0.0202637","144","97.34","183","0","0","0","0","2.66","5","188","0.359971","Monophyletic","132","5","10","1","2","1","2","93","186","200","0.0134746","Monophyletic"
"Chang2015.Chang_AA.C60.PORI","Chang2015","Chang_AA","Chang2015.Chang_AA","C60","PORI","Plac","/Users/caitlincherryh/Documents/C4_Ancient_ILS/06_cf_analyses/gcf_c60/Chang2015.Chang_AA.C60.PORI.gcf.cf.branch","/Users/caitlincherryh/Documents/C4_Ancient_ILS/06_cf_analyses/gcf_c60/Chang2015.Chang_AA.C60.PORI.gcf.cf.stat","81","39.5","79","0","0","0","0","60.5","121","200","0.104203","82","2","4","8","16","1.5","3","88.5","177","200","0.00351724","132","97.34","183","0","0","0","0","2.66","5","188","0.379046","Monophyletic","136","5","10","1","2","2","4","92","184","200","0.0125674","Monophyletic"
"Dunn2008.Dunn2008_FixedNames.C60.CTEN_PORI","Dunn2008","Dunn2008_FixedNames","Dunn2008.Dunn2008_FixedNames","C60","CTEN_PORI","Plac","/Users/caitlincherryh/Documents/C4_Ancient_ILS/06_cf_analyses/gcf_c60/Dunn2008.Dunn2008_FixedNames.C60.CTEN_PORI.gcf.cf.branch","/Users/caitlincherryh/Documents/C4_Ancient_ILS/06_cf_analyses/gcf_c60/Dunn2008.Dunn2008_FixedNames.C60.CTEN_PORI.gcf.cf.stat","80","15.79","12","0","0","1.32","1","82.89","63","76","0.129877","85","7.41","2","0","0","0","0","92.59","25","27","0.00258849","86","100","15","0","0","0","0","0","0","15","0.918583","Monophyletic","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Single_tip"
"Dunn2008.Dunn2008_FixedNames.C60.CTEN","Dunn2008","Dunn2008_FixedNames","Dunn2008.Dunn2008_FixedNames","C60","CTEN","Plac","/Users/caitlincherryh/Documents/C4_Ancient_ILS/06_cf_analyses/gcf_c60/Dunn2008.Dunn2008_FixedNames.C60.CTEN.gcf.cf.branch","/Users/caitlincherryh/Documents/C4_Ancient_ILS/06_cf_analyses/gcf_c60/Dunn2008.Dunn2008_FixedNames.C60.CTEN.gcf.cf.stat","81","15.49","11","0","0","4.23","3","80.28","57","71","0.113844","80","0","0","0","0","7.41","2","92.59","25","27","0.0452467","86","98.11","52","0","0","0","0","1.89","1","53","0.904236","Monophyletic","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Single_tip"
"Dunn2008.Dunn2008_FixedNames.C60.PORI","Dunn2008","Dunn2008_FixedNames","Dunn2008.Dunn2008_FixedNames","C60","PORI","Plac","/Users/caitlincherryh/Documents/C4_Ancient_ILS/06_cf_analyses/gcf_c60/Dunn2008.Dunn2008_FixedNames.C60.PORI.gcf.cf.branch","/Users/caitlincherryh/Documents/C4_Ancient_ILS/06_cf_analyses/gcf_c60/Dunn2008.Dunn2008_FixedNames.C60.PORI.gcf.cf.stat","81","25","7","0","0","0","0","75","21","28","0.129638","80","0","0","0","0","7.41","2","92.59","25","27","2.4261e-06","86","98.11","52","0","0","0","0","1.89","1","53","0.919707","Monophyletic","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Single_tip"
"Laumer2018.Tplx_BUSCOeuk.C60.CTEN_PORI","Laumer2018","Tplx_BUSCOeuk","Laumer2018.Tplx_BUSCOeuk","C60","CTEN_PORI","Plac","/Users/caitlincherryh/Documents/C4_Ancient_ILS/06_cf_analyses/gcf_c60/Laumer2018.Tplx_BUSCOeuk.C60.CTEN_PORI.gcf.cf.branch","/Users/caitlincherryh/Documents/C4_Ancient_ILS/06_cf_analyses/gcf_c60/Laumer2018.Tplx_BUSCOeuk.C60.CTEN_PORI.gcf.cf.stat","110","49.57","114","0","0","0","0","50.43","116","230","0.352501","90","1.33","4","5.65","17","1","3","92.03","277","301","0.0106903","91","68.32","110","0","0","0","0","31.68","51","161","0.726427","Monophyletic","96","3.68","11","2.34","7","2.68","8","91.3","273","299","0.0187175","Monophyletic"
