"id","dataset","matrix_name","dataset_id","model","Plac_present","CTEN.MET_gCF","PORI.MET_gCF","CTENPORI.MET_gCF","CTEN.MET_gCF_N","PORI.MET_gCF_N","CTENPORI.MET_gCF_N","CTEN.MET_gDFP","PORI.MET_gDFP","CTENPORI.MET_gDFP","CTEN.MET_gDFP_N","PORI.MET_gDFP_N","CTENPORI.MET_gDFP_N","CTEN.MET_Length","PORI.MET_Length","CTENPORI.MET_Length","CTEN.KEY_gCF","PORI.KEY_gCF","CTENPORI.KEY_gCF","CTEN.KEY_gCF_N","PORI.KEY_gCF_N","CTENPORI.KEY_gCF_N","CTEN.KEY_gDFP","PORI.KEY_gDFP","CTENPORI.KEY_gDFP","CTEN.KEY_gDFP_N","PORI.KEY_gDFP_N","CTENPORI.KEY_gDFP_N","CTEN.KEY_Length","PORI.KEY_Length","CTENPORI.KEY_Length","CTEN.CTEN_gCF","PORI.CTEN_gCF","CTENPORI.CTEN_gCF","CTEN.CTEN_gCF_N","PORI.CTEN_gCF_N","CTENPORI.CTEN_gCF_N","CTEN.CTEN_gDFP","PORI.CTEN_gDFP","CTENPORI.CTEN_gDFP","CTEN.CTEN_gDFP_N","PORI.CTEN_gDFP_N","CTENPORI.CTEN_gDFP_N","CTEN.CTEN_Length","PORI.CTEN_Length","CTENPORI.CTEN_Length","CTEN.PORI_gCF","PORI.PORI_gCF","CTENPORI.PORI_gCF","CTEN.PORI_gCF_N","PORI.PORI_gCF_N","CTENPORI.PORI_gCF_N","CTEN.PORI_gDFP","PORI.PORI_gDFP","CTENPORI.PORI_gDFP","CTEN.PORI_gDFP_N","PORI.PORI_gDFP_N","CTENPORI.PORI_gDFP_N","CTEN.PORI_Length","PORI.PORI_Length","CTENPORI.PORI_Length"
"Borowiec2015.Best108.C60","Borowiec2015","Best108","Borowiec2015.Best108","C60","Plac",95.65,95.65,95.88,88,88,93,4.35,3.26,4.12,4,3,4,0.638139,0.659113,0.673897,16.3,11.96,11.96,15,11,11,59.78,59.78,59.78,55,55,55,0.0411379,0.0144626,0.030111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chang2015.Chang_AA.C60","Chang2015","Chang_AA","Chang2015.Chang_AA","C60","Plac",39.5,39.5,39.5,79,79,79,57,60.5,60.5,114,121,121,0.0881938,0.104203,0.104785,8,2,1.5,16,4,3,88.5,88.5,88.5,177,177,177,0.0202637,0.00351724,0.00361682,97.34,97.34,97.34,183,183,183,2.66,2.66,2.66,5,5,5,0.359971,0.379046,0.378505,5,5,5,10,10,10,93,92,89,186,184,178,0.0134746,0.0125674,0.0115966
"Dunn2008.Dunn2008_FixedNames.C60","Dunn2008","Dunn2008_FixedNames","Dunn2008.Dunn2008_FixedNames","C60","Plac",15.49,25,15.79,11,7,12,80.28,75,82.89,57,21,63,0.113844,0.129638,0.129877,0,0,7.41,0,0,2,92.59,92.59,92.59,25,25,25,0.0452467,2.4261e-06,0.00258849,98.11,98.11,100,52,52,15,1.89,1.89,0,1,1,0,0.904236,0.919707,0.918583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laumer2018.Tplx_BUSCOeuk.C60","Laumer2018","Tplx_BUSCOeuk","Laumer2018.Tplx_BUSCOeuk","C60","Plac",49.34,49.57,49.57,113,114,114,48.91,50.43,50.43,112,116,116,0.311466,0.34983,0.352501,5.65,1,1.33,17,3,4,92.03,92.03,92.03,277,277,277,0.047366,0.00677957,0.0106903,68.75,68.32,68.32,110,110,110,31.25,31.68,31.68,50,51,51,0.685951,0.729482,0.726427,3.68,3.69,3.68,11,11,11,95.32,94.3,91.3,285,281,273,0.0247387,0.0215283,0.0187175
"Moroz2014.ED3d.C60","Moroz2014","ED3d","Moroz2014.ED3d","C60","Plac",57.14,70.59,60.61,16,12,20,28.57,17.65,27.27,8,3,9,0.279327,0.273875,0.292862,17.07,17.07,9.76,7,7,4,56.1,56.1,56.1,23,23,23,0.0248353,0.0248032,0.0249576,93.48,93.62,100,43,44,25,6.52,6.38,0,3,3,0,0.60449,0.620564,0.599139,15.38,15.38,18.18,2,2,2,61.54,69.23,63.64,8,9,7,0.0541257,0.0388114,0.0411938
"Nosenko2013.nonribosomal_9187_smatrix.C60","Nosenko2013","nonribosomal_9187_smatrix","Nosenko2013.nonribosomal_9187_smatrix","C60","Plac",17.14,17.14,17.14,6,6,6,77.14,82.86,82.86,27,29,29,0.0413709,0.0592624,0.0602363,2.86,0,0,1,0,0,97.14,97.14,97.14,34,34,34,0.0238838,0.00399329,0.00238604,61.54,61.54,61.54,16,16,16,38.46,38.46,38.46,10,10,10,0.241503,0.260937,0.25977,0,0,0,0,0,0,96.97,100,96.97,32,33,32,0.0109183,0.0102384,0.00991252
"Nosenko2013.ribosomal_14615_smatrix.C60","Nosenko2013","ribosomal_14615_smatrix","Nosenko2013.ribosomal_14615_smatrix","C60","Plac",17.44,18.39,18.39,15,16,16,79.07,81.61,81.61,68,71,71,0.0539805,0.067279,0.0676994,4.65,0,0,4,0,0,95.35,95.35,95.35,82,82,82,0.0164985,0.00550768,0.00491599,95.59,95.59,95.59,65,65,65,4.41,4.41,4.41,3,3,3,0.395539,0.409244,0.407511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Philippe2009.Philippe_etal_superalignment_FixedNames.C60","Philippe2009","Philippe_etal_superalignment_FixedNames","Philippe2009.Philippe_etal_superalignment_FixedNames","C60","Plac",24.41,25,25,31,32,32,72.44,75,75,92,96,96,0.059046,0.0681873,0.0695976,1.57,0.79,2.36,2,1,3,95.28,95.28,95.28,121,121,121,0.0132842,0.00553826,0.00338297,94.59,94.59,94.59,105,105,105,5.41,5.41,5.41,6,6,6,0.384014,0.395221,0.393487,1.6,1.6,1.61,2,2,2,98.4,95.2,95.16,123,119,118,0.0156103,0.0141569,0.0132154
"Philippe2011.UPDUNN_MB_FixedNames.C60","Philippe2011","UPDUNN_MB_FixedNames","Philippe2011.UPDUNN_MB_FixedNames","C60","Plac",11.76,15.56,15.22,14,21,21,87.39,82.22,84.06,104,111,116,0.139174,0.145,0.150499,5.13,0,2.56,6,0,3,92.31,92.31,92.31,108,108,108,0.0137175,0.0134649,0.020005,96.49,96.55,96.49,55,56,55,3.51,3.45,3.51,2,2,2,0.806447,0.819464,0.800604,12.96,12.96,7.5,7,7,3,85.19,85.19,77.5,46,46,31,0.0576041,0.053039,0.0412682
"Ryan2013.REA_EST_includingXenoturbella.C60","Ryan2013","REA_EST_includingXenoturbella","Ryan2013.REA_EST_includingXenoturbella","C60","Plac",70.28,69.68,69.78,149,154,157,26.89,28.51,29.78,57,63,67,0.381172,0.399683,0.411789,9.12,5.98,3.99,32,21,14,80.91,80.91,80.91,284,284,284,0.0346828,0.0174701,0.0106802,98.2,98.25,98.2,109,112,109,1.8,1.75,1.8,2,2,2,0.766994,0.803227,0.793391,6.8,6.38,7.19,10,9,10,87.76,75.18,82.73,129,106,115,0.0305358,0.0220797,0.0253212
