"dataset","matrix_name","dataset_id","gene_name","gene_id","ML_model_code","ML_best_model","ML_alisim_model","ML_logl","ML_unconstrained_logl","ML_numFreeParams","ML_BIC","ML_tree_length","ML_sumInternalBL","CTEN_LogL","CTEN_Unconstrained_LogL","CTEN_NumFreeParams","CTEN_BIC","CTEN_TreeLength","CTEN_SumInternalBL","PORI_LogL","PORI_Unconstrained_LogL","PORI_NumFreeParams","PORI_BIC","PORI_TreeLength","PORI_SumInternalBL","CTEN_PORI_LogL","CTEN_PORI_Unconstrained_LogL","CTEN_PORI_NumFreeParams","CTEN_PORI_BIC","CTEN_PORI_TreeLength","CTEN_PORI_SumInternalBL"
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0001","Borowiec2015.Best108.gene_0001","LG","LG+I+G4","LG+I{0.185555}+G4{0.976586}",-13205.6539,-2954.9973,65,26814.2089,7.6855,1.4117,-13242.2943,-2954.9973,63,26875.0927,8.0788,1.4486,-13233.0546,-2954.9973,63,26856.6134,8.0034,1.4141,-13242.4804,-2954.9973,63,26875.465,8.0828,1.4467
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0002","Borowiec2015.Best108.gene_0002","LG","LG+I+G4","LG+I{0.0519015}+G4{1.06552}",-20309.0917,-2972.4714,71,41056.9645,17.1168,2.8649,-20327.7193,-2972.4714,69,41081.8597,17.3088,2.938,-20326.9976,-2972.4714,69,41080.4164,17.3098,2.949,-20323.8143,-2972.4714,69,41074.0497,17.1359,3.0591
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0003","Borowiec2015.Best108.gene_0003","LG","LG+G4","LG+G4{0.978062}",-11135.134,-1561.7061,66,22641.6911,15.1401,2.4406,-11145.2208,-1561.7061,65,22656.237,15.2476,2.3954,-11146.1453,-1561.7061,65,22658.0859,15.2905,2.3833,-11147.0909,-1561.7061,65,22659.9771,15.2875,2.3781
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0004","Borowiec2015.Best108.gene_0004","Q.insect","Q.insect+I+G4","Q.insect+I{0.125081}+G4{1.09532}",-10148.5988,-1462.4984,71,20694.4221,13.6966,2.8641,-10150.9061,-1462.4984,69,20687.8473,13.577,2.7431,-10156.0733,-1462.4984,69,20698.1818,13.5204,2.8114,-10154.9459,-1462.4984,69,20695.9268,13.5656,2.8237
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0005","Borowiec2015.Best108.gene_0005","Q.yeast","Q.yeast+I+R4","Q.yeast+I{0.247937}+R4{0.412194,0.230561,0.210847,1.30496,0.109024,3.77733,0.0199979,10.901}",-11132.2007,-3720.2363,74,22740.5577,5.2832,0.8691,-11133.3666,-3720.2363,67,22697.8478,5.2992,0.8406,-11133.9213,-3720.2363,67,22698.9572,5.2302,0.8465,-11132.5666,-3720.2363,67,22696.2477,5.1924,0.8814
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0006","Borowiec2015.Best108.gene_0006","Q.insect","Q.insect+R3","Q.insect+R3{0.15883,0.102884,0.564156,0.663426,0.277014,2.19983}",-12160.5874,-1504.9774,71,24718.3993,18.1306,3.3479,-12168.6196,-1504.9774,67,24712.0849,18.2106,3.262,-12165.5311,-1504.9774,67,24705.9078,18.1732,3.2671,-12168.6197,-1504.9774,67,24712.085,18.2107,3.2621
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0007","Borowiec2015.Best108.gene_0007","Q.yeast","Q.yeast+F+G4","Q.yeast+F+G4{1.10874}",-10130.9307,-1980.3542,85,20757.5714,9.5472,2.0375,-10148.8325,-1980.3542,84,20787.543,9.9398,2.202,-10147.2087,-1980.3542,84,20784.2955,9.8894,2.193,-10148.5939,-1980.3542,84,20787.0659,9.952,2.2275
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0008","Borowiec2015.Best108.gene_0008","Q.yeast","Q.yeast+I+G4","Q.yeast+I{0.11551}+G4{0.768969}",-10088.2052,-2061.2963,67,20570.4062,10.7503,2.1021,-10101.3599,-2061.2963,65,20584.9544,10.6024,2.0393,-10102.9579,-2061.2963,65,20588.1504,10.8871,1.9944,-10097.9056,-2061.2963,65,20578.0459,10.7961,2.134
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0009","Borowiec2015.Best108.gene_0009","Q.insect","Q.insect+I+G4","Q.insect+I{0.0457556}+G4{0.918021}",-35327.9137,-5724.901,67,71107.8369,19.1405,4.161,-35338.301,-5724.901,65,71115.1188,19.197,4.2811,-35340.427,-5724.901,65,71119.3708,19.2637,4.2767,-35336.4401,-5724.901,65,71111.3969,19.214,4.3755
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0010","Borowiec2015.Best108.gene_0010","Q.insect","Q.insect+I+G4","Q.insect+I{0.0989011}+G4{1.41935}",-9502.2844,-1761.5086,67,19389.1349,9.3337,1.8957,-9503.7186,-1761.5086,65,19380.5238,9.311,1.8827,-9503.9646,-1761.5086,65,19381.0158,9.3194,1.8622,-9506.44,-1761.5086,65,19385.9665,9.3828,1.8107
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0011","Borowiec2015.Best108.gene_0011","Q.yeast","Q.yeast+R4","Q.yeast+R4{0.423029,0.101805,0.300441,0.780556,0.207275,2.02411,0.0692547,4.37337}",-14108.4952,-2812.917,69,28640.9393,10.6461,2.0726,-14114.6114,-2812.917,63,28616.3064,10.8501,2.1207,-14114.6115,-2812.917,63,28616.3066,10.8533,2.1209,-14114.6114,-2812.917,63,28616.3064,10.8456,2.1203
